kod,ido,AcF,AR,AS,konverzio,kozeg
714,6,21151.5,64.1,18923.4,49.83063297,37.3 % HEPES
715,6,16490.3,238.3,12446.9,49.04273353,10 % DMSO
716,6,16973.6,5603.7,17441.5,33.93572801,20 % DMSO
717,6,4483.9,14274.2,17097,8.255249459,30 % DMSO
718,6,20642.2,85.6,16711.8,49.74389354,10 % ethylene glycol
719,6,21388.2,1141.8,17941.5,46.81799181,20 % ethylene glycol
720,6,19633.8,7261.8,21747.5,33.30428785,30 % ethylene glycol
721,6,2352.9,8797.5,10341.6,7.46547923,10 % tert-amyl alcohol
722,6,353.2,12504.7,12898.5,1.526534093,20 % tert-amyl alcohol
723,6,107.5,9273.3,9387.8,0.60983404,30 % tert-amyl alcohol
724,6,,,,#DIV/0!,5 mM trehalose
725,6,,,,#DIV/0!,10 mM trehalose
726,6,,,,#DIV/0!,25 mM trehalose
,,,,,,
Kód,Idő,ACF,AR,AS,Konverzió,
727,2,24182.1,0,19731.2,50,37.3 % HEPES
728,2,23984.9,400,18179.8,48.89987789,10 % DMSO
729,2,15043.5,6606.6,17350.4,30.96124585,20 % DMSO
730,2,4537.2,14320.7,17056.3,8.019324238,30 % DMSO
731,2,,,,50,25 mM β-ciklodextrin
732,2,,,,50,50 mM β-ciklodextrin
733,2,,,,50,25 mM gamma-ciklodextrin
734,2,,,,50,50 mM gamma-ciklodextrin
735,2,,,,50,25 mM 2-OH-propil-ciklodextrin
736,2,,,,50,50 mM 2-OH-propil-ciklodextrin
737,2,,,,50,50 mM glucose
738,2,,,,50,50 mM maltose
739,2,,,,50,50 mM trehalose
740,2,15241.4,7852.6,18811,29.12763808,5 mM SLS
,,,,,,
,,,,,,
727,4,20048.4,0,17623.4,50,37.3 % HEPES
728,4,20173.5,125.4,17525.2,49.64222948,10 % DMSO
729,4,16290,5872.8,17868.5,33.56661164,20 % DMSO
730,4,4532.7,14230.7,17065.3,8.305157249,30 % DMSO
731,4,12664.3,0,16475.7,50,25 mM β-ciklodextrin
732,4,10534.3,0,15046,50,50 mM β-ciklodextrin
733,4,16396.2,0,16831.9,50,25 mM gamma-ciklodextrin
734,4,12360.9,0,16473.2,50,50 mM gamma-ciklodextrin
735,4,20422.7,0,16546.7,50,25 mM 2-OH-propil-ciklodextrin
736,4,20220.1,0,16903.4,50,50 mM 2-OH-propil-ciklodextrin
737,4,19699,0,17174.1,50,50 mM glucose
738,4,19489.6,0,17386.5,50,50 mM maltose
739,4,19359.8,0,16769.6,50,50 mM trehalose
740,4,14409,7305.5,17680.9,29.34070098,5 mM SLS
,,,,,,
,,,,,,
727,6,19201.5,0,17713.8,50,37.3 % HEPES
728,6,19897.4,108.5,17862.2,49.69628601,10 % DMSO
729,6,16037,5828.6,18035.6,33.84140256,20 % DMSO
730,6,4688.6,14979.3,18097.9,8.615916764,30 % DMSO
731,6,11311.8,0,16895.2,50,25 mM β-ciklodextrin
732,6,6647.6,0,9987.4,50,50 mM β-ciklodextrin
733,6,15255,0,17220.6,50,25 mM gamma-ciklodextrin
734,6,11833.1,0,16134.9,50,50 mM gamma-ciklodextrin
735,6,20100,0,17137.9,50,25 mM 2-OH-propil-ciklodextrin
736,6,20494.7,0,16635.8,50,50 mM 2-OH-propil-ciklodextrin
737,6,18585.7,0,17527.6,50,50 mM glucose
738,6,19374.3,0,17094.9,50,50 mM maltose
739,6,18845.2,0,17267.1,50,50 mM trehalose
740,6,13320.8,7692.1,18474,29.1812818,5 mM SLS
,,,,,,
,,,,,,
727,8,17274.9,43.4,16678.2,49.86989004,37.3 % HEPES
728,8,18988.7,108.6,16906.2,49.67881606,10 % DMSO
729,8,14774.3,5044.7,16364.4,34.58635819,20 % DMSO
730,8,3686.5,11309.3,13606.4,8.441248236,30 % DMSO
731,8,10412,0,15689.1,50,25 mM β-ciklodextrin
732,8,8694.2,0,13965.9,50,50 mM β-ciklodextrin
733,8,13442,0,15480.3,50,25 mM gamma-ciklodextrin
734,8,9442.5,0,13030.9,50,50 mM gamma-ciklodextrin
735,8,19670.8,0,15595.9,50,25 mM 2-OH-propil-ciklodextrin
736,8,16785.1,0,12766.8,50,50 mM 2-OH-propil-ciklodextrin
737,8,18172.5,0,16682.2,50,50 mM glucose
738,8,14108.4,0,12145,50,50 mM maltose
739,8,17099.7,0,16015.4,50,50 mM trehalose
740,8,12988.2,7105.2,17188.1,29.33104881,5 mM SLS
,,,,,,
Kód,Idő,ACF,AR,AS,Konverzió,
741,0.25,16225.8,4331.7,16127.3,36.57028765,37.3 % HEPES
742,0.25,15809.9,5943.3,16792.6,32.30381239,10 % DMSO
743,0.25,9896.5,10826.2,16962.4,18.08765269,20 % DMSO
744,0.25,4075,17417.6,19876.4,6.185224689,30 % DMSO
745,0.25,19876.5,3968.9,18412.6,39.22232602,10 % glycerol
746,0.25,21116.9,5043.1,21160,38.0834121,20 % glycerol
747,0.25,20539.3,5833.4,21443.4,36.39814582,30 % glycerol
748,0.25,19698.7,2888.5,17214.5,41.61027041,5 % TWEEN 80
749,0.25,17994.5,5700.1,18039.7,34.20123395,10 % TWEEN 80
750,0.25,17957.3,4520.8,17332.9,36.95890474,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,0.5,18252.1,2463.4,17529.8,42.97367911,37.3 % HEPES
742,0.5,17983.6,3690.1,17519.9,39.46883258,10 % DMSO
743,0.5,11217.2,10187.5,17571.2,21.01080177,20 % DMSO
744,0.5,3609.8,14541.7,16771.9,6.648620609,30 % DMSO
745,0.5,21285,1375.9,18636.4,46.30856818,10 % glycerol
746,0.5,23454.5,1722.1,21065.7,45.91254978,20 % glycerol
747,0.5,24933.2,3024.3,24182.1,43.746821,30 % glycerol
748,0.5,20818.3,1192,17036.8,46.50169046,5 % TWEEN 80
749,0.5,21903.8,892.7,17608.4,47.46513028,10 % TWEEN 80
750,0.5,20052,989,15959.1,46.90145434,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,0.75,18841.8,1695.7,17620.7,45.18832964,37.3 % HEPES
742,0.75,19411.7,3090.9,17393.5,41.11478426,10 % DMSO
743,0.75,12575.1,9962.7,17529.1,21.58239727,20 % DMSO
744,0.75,3703.4,14798.5,17118.7,6.77679964,30 % DMSO
745,0.75,22574.2,533.5,19410.9,48.62577212,10 % glycerol
746,0.75,23400.4,1510.1,21786.9,46.53438534,20 % glycerol
747,0.75,24869,2078.1,24664.7,45.78729926,30 % glycerol
748,0.75,20715.2,1525.7,17532.9,45.64903695,5 % TWEEN 80
749,0.75,21998.9,163.4,17280.7,49.52721823,10 % TWEEN 80
750,0.75,20835.6,274.4,15843.7,49.13404066,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,1,16731.8,1056.3,14618.1,46.38701336,37.3 % HEPES
742,1,20529.8,2316.1,19683.2,44.11655625,10 % DMSO
743,1,13488.9,9979.1,18956,23.67825491,20 % DMSO
744,1,4353.3,16483.7,19118.5,6.890707953,30 % DMSO
745,1,23408.9,352.2,20855,49.15559818,10 % glycerol
746,1,21080.5,850,18539.8,47.70763439,20 % glycerol
747,1,16566.8,1048.5,13948,46.24139662,30 % glycerol
748,1,21514.2,392.2,17648.4,48.88885111,5 % TWEEN 80
749,1,17286.7,36.7,12661.8,49.8550759,10 % TWEEN 80
750,1,20604.1,84,15847.1,49.73496728,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,1.25,18690.3,1083.5,17616,46.92467075,37.3 % HEPES
742,1.25,18534.8,1714,15842.4,44.59046609,10 % DMSO
743,1.25,10972,7580.8,14789.2,24.37048657,20 % DMSO
744,1.25,4074.6,15848.7,18232.6,6.537465858,30 % DMSO
745,1.25,18890.5,159.2,15722.9,49.49373207,10 % glycerol
746,1.25,19185.5,576.6,17430.3,48.34598372,20 % glycerol
747,1.25,20565.6,1322.1,19008.3,46.52230868,30 % glycerol
748,1.25,16739.2,429.6,12626.9,48.29886987,5 % TWEEN 80
749,1.25,18647.8,53.8,13984.3,49.80764143,10 % TWEEN 80
750,1.25,20467.2,38.4,15631,49.87716717,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,1.5,17847.5,834.2,16103,47.40979942,37.3 % HEPES
742,1.5,18948,1115.6,17223.1,46.76132636,10 % DMSO
743,1.5,10562,7462.5,14986.2,25.10209393,20 % DMSO
744,1.5,3986.5,15125.1,17562.5,6.939217082,30 % DMSO
745,1.5,10458.5,162.2,15800.2,49.48671536,10 % glycerol
746,1.5,10932.9,607.5,7414.2,45.90313183,20 % glycerol
747,1.5,10818.5,600.3,8401.2,46.4272961,30 % glycerol
748,1.5,12371.6,167.1,8169.5,48.97729359,5 % TWEEN 80
749,1.5,13778,35.9,8591.4,49.79107014,10 % TWEEN 80
750,1.5,9323.9,32.3,5834.8,49.72321245,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,1.75,15205.2,644,13031.7,47.52910211,37.3 % HEPES
742,1.75,19759.2,1662.5,18429.6,45.48959283,10 % DMSO
743,1.75,9524.7,5797.2,11847.1,25.53325286,20 % DMSO
744,1.75,3424.1,13287.6,15496.5,7.127093215,30 % DMSO
745,1.75,10545.3,48.1,7877.6,49.69470397,10 % glycerol
746,1.75,18457.3,428.1,16434.8,48.69758074,20 % glycerol
747,1.75,20320,1244.2,19835.9,46.86376721,30 % glycerol
748,1.75,14653.3,80.2,10627.2,49.62266637,5 % TWEEN 80
749,1.75,15440.7,29.4,11079.2,49.86731894,10 % TWEEN 80
750,1.75,12111.8,0,7852.3,50,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
741,2,981.4,41,773.4,47.34936643,37.3 % HEPES
742,2,13190.4,861.3,10145.9,45.7554283,10 % DMSO
743,2,6596.9,4045.6,8353.5,25.7850003,20 % DMSO
744,2,3833.3,15572.4,18254.4,7.346174073,30 % DMSO
745,2,15898.7,106.1,13211.6,49.59845893,10 % glycerol
746,2,21095.6,523.8,21776.4,48.79732187,20 % glycerol
747,2,15552.5,882.7,14431.2,46.94169577,30 % glycerol
748,2,17548.4,73.9,14334.2,49.74222489,5 % TWEEN 80
749,2,19716.1,0,16299.4,50,10 % TWEEN 80
750,2,18509.5,60.6,13712.7,49.77903695,20 % TWEEN 80
,,,,,,
,,,,,,
,,,,,,
751,0.25,12030.5,4885.8,13246.7,31.55842587,37.3 % HEPES
752,0.25,12357.9,5752.6,11479.5,24.94403066,10 % DMSO
753,0.25,6250.9,8390.5,13037.3,17.82117463,20 % DMSO
754,0.25,1998.2,12677.1,14226.8,5.446410999,30 % DMSO
755,0.25,11910.3,4144.2,14695.2,35.89947738,10 % ethylene glycol
756,0.25,11010.3,5549.8,17187.2,33.85484547,20 % ethylene glycol
757,0.25,10091.8,6838.3,15890.6,28.48319132,30 % ethylene glycol
758,0.25,11780.2,3418.5,11246.4,34.80180324,10 % PEG
759,0.25,11592.8,3412.1,12651.2,36.51471797,20 % PEG
760,0.25,5470.8,8658.2,11986.7,13.88413825,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,0.5,13691.7,2084.6,13032.2,42.00211783,37.3 % HEPES
752,0.5,11698.5,3858.1,12560.3,34.64168849,10 % DMSO
753,0.5,7035.8,8040.9,13670.8,20.59096761,20 % DMSO
754,0.5,2025.4,14785.6,16656.2,5.615326425,30 % DMSO
755,0.5,13014.1,1738.5,14964.3,44.191175,10 % ethylene glycol
756,0.5,11974.2,3290.4,19078.3,41.37659016,20 % ethylene glycol
757,0.5,10835.6,7398.3,22563.6,33.60567463,30 % ethylene glycol
758,0.5,14002.1,1664.9,12030,43.08021613,10 % PEG
759,0.5,13166.1,2970.4,13155.2,38.71016784,20 % PEG
760,0.5,14007.5,6985.5,18231.2,30.84191,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,0.75,21044.4,1626,17116.7,45.25025268,37.3 % HEPES
752,0.75,19548.8,3889.2,16939.1,38.52005124,10 % DMSO
753,0.75,12490.7,9141.6,16314.4,21.98303339,20 % DMSO
754,0.75,3222.4,14810.6,16570.2,5.309531569,30 % DMSO
755,0.75,21501,1040.3,15726.5,46.69252536,10 % ethylene glycol
756,0.75,19609.2,2414.7,19128,43.68804893,20 % ethylene glycol
757,0.75,19147.5,4002.5,13973,35.67773563,30 % ethylene glycol
758,0.75,21535.6,1352.6,16553.4,45.9144345,10 % PEG
759,0.75,20140.6,3027.4,17643.5,41.4206365,20 % PEG
760,0.75,18160.3,5296.2,17749.2,35.08045433,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,1,21954.7,840.8,16949.1,47.51963231,37.3 % HEPES
752,1,19550.7,3006.3,16161,40.69890477,10 % DMSO
753,1,12974.2,9175.6,17043.5,23.08182005,20 % DMSO
754,1,3297.3,16360.6,18390.3,5.518398286,30 % DMSO
755,1,21582.5,716.8,16467.9,47.82364479,10 % ethylene glycol
756,1,20607.7,2007.1,18554.3,44.59128073,20 % ethylene glycol
757,1,18113.1,5574.4,19934.4,36.0181395,30 % ethylene glycol
758,1,21464,802.2,16802.1,47.6127984,10 % PEG
759,1,21242,1855.1,17931.3,44.8272016,20 % PEG
760,1,20103.8,2823.6,17061.2,41.72508382,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,1.25,21243.1,524.2,17111.3,48.46826366,37.3 % HEPES
752,1.25,19727.1,2790.5,17638.6,42.08979171,10 % DMSO
753,1.25,13111,8547,16443.8,24.01148153,20 % DMSO
754,1.25,3326.1,15647.2,17604.4,5.558837563,30 % DMSO
755,1.25,21237.7,470,15743.5,48.50732048,10 % ethylene glycol
756,1.25,20922.5,1698.3,17388,45.11645963,20 % ethylene glycol
757,1.25,17841,5065.5,18671.1,36.43491814,30 % ethylene glycol
758,1.25,21691.8,549.4,17008.7,48.38494418,10 % PEG
759,1.25,21512.4,1166.1,17196.7,46.60952392,20 % PEG
760,1.25,20528.7,1953.3,16630.2,44.12725042,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,1.5,20307.9,346.2,17259.2,48.99705664,37.3 % HEPES
752,1.5,17832.7,2087.6,15488.3,43.26071938,10 % DMSO
753,1.5,10521.3,7934.7,15760.9,24.82789688,20 % DMSO
754,1.5,3074.9,14346,16139.7,5.556794736,30 % DMSO
755,1.5,19552.6,348.3,15244.2,48.8575983,10 % ethylene glycol
756,1.5,21312.3,1687.9,18360,45.40332244,20 % ethylene glycol
757,1.5,18635.9,3855.7,14279.9,36.49955532,30 % ethylene glycol
758,1.5,21703.5,398.6,16596.2,48.79912269,10 % PEG
759,1.5,21059.1,959.5,17067.1,47.18903622,20 % PEG
760,1.5,20489.9,1353.5,16387.5,45.87032799,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,1.75,21662.6,230.7,16914.6,49.31804477,37.3 % HEPES
752,1.75,20119.6,1934.7,16890.9,44.27295171,10 % DMSO
753,1.75,14163.5,8750.2,17788.8,25.40531121,20 % DMSO
754,1.75,3358.5,15698,17707.8,5.674900326,30 % DMSO
755,1.75,20542.3,319.5,17016.5,49.0612053,10 % ethylene glycol
756,1.75,21093.3,1570.6,17984.6,45.63348643,20 % ethylene glycol
757,1.75,18892.2,4085,15419.9,36.7541294,30 % ethylene glycol
758,1.75,21201.6,334.5,16864.7,49.00828357,10 % PEG
759,1.75,21948.5,920.9,17286.1,47.33629911,20 % PEG
760,1.75,21156,1441,17052.4,45.7747883,30 % PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,2,22004.8,163.1,16587,49.50834991,37.3 % HEPES
752,2,20085.7,1711.1,17140.8,45.00869271,10 % DMSO
753,2,13828.3,8117.3,16917.4,26.0090203,20 % DMSO
754,2,3415.2,15306.3,17180.4,5.454180345,30 % DMSO
755,2,20914.1,348.4,18867.3,49.07670944,10 % ethylene glycol
756,2,20401.9,1355.8,16720.6,45.94571965,20 % ethylene glycol
757,2,17908.4,5073.8,19102,36.71919171,30 % ethylene glycol
758,2,21005.4,295.3,17275.3,49.14531151,10 % PEG
759,2,21230.9,798.5,17613.1,47.7332213,20 % PEG
760,2,21012.2,1355,17271.4,46.07733015,30 % PEG
